district,fiscal_year,year,month,date,remittance_musd,source_pdf
Nilphamari,FY2024-25,2025,4,2025-04,4.36,report_june2025.pdf
Noakhali,FY2024-25,2025,4,2025-04,79.97,report_june2025.pdf
Pabna,FY2024-25,2025,4,2025-04,17.16,report_june2025.pdf
Panchagarh,FY2024-25,2025,4,2025-04,2.83,report_june2025.pdf
Patuakhali,FY2024-25,2025,4,2025-04,10.3,report_june2025.pdf
Pirojpur,FY2024-25,2025,4,2025-04,11.7,report_june2025.pdf
Rajbari,FY2024-25,2025,4,2025-04,14.14,report_june2025.pdf
Rajshahi,FY2024-25,2025,4,2025-04,11.37,report_june2025.pdf
Rangamati,FY2024-25,2025,4,2025-04,2.58,report_june2025.pdf
Rangpur,FY2024-25,2025,4,2025-04,7.36,report_june2025.pdf
Satkhira,FY2024-25,2025,4,2025-04,11.3,report_june2025.pdf
Shariatpur,FY2024-25,2025,4,2025-04,32.16,report_june2025.pdf
Sherpur,FY2024-25,2025,4,2025-04,4.53,report_june2025.pdf
Sirajganj,FY2024-25,2025,4,2025-04,10.89,report_june2025.pdf
Sunamganj,FY2024-25,2025,4,2025-04,32.64,report_june2025.pdf
Sylhet,FY2024-25,2025,4,2025-04,119.93,report_june2025.pdf
Tangail,FY2024-25,2025,4,2025-04,63.43,report_june2025.pdf
Thakurgaon,FY2024-25,2025,4,2025-04,3.14,report_june2025.pdf
Bagerhat,FY2024-25,2025,5,2025-05,8.66,report_june2025.pdf
Bandarban,FY2024-25,2025,5,2025-05,2.08,report_june2025.pdf
Barguna,FY2024-25,2025,5,2025-05,6.94,report_june2025.pdf
Barisal,FY2024-25,2025,5,2025-05,29.73,report_june2025.pdf
Bhola,FY2024-25,2025,5,2025-05,12.49,report_june2025.pdf
Bogura,FY2024-25,2025,5,2025-05,20.06,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,5,2025-05,71.22,report_june2025.pdf
Chandpur,FY2024-25,2025,5,2025-05,63.77,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,5,2025-05,12.21,report_june2025.pdf
Chattogram,FY2024-25,2025,5,2025-05,230.4,report_june2025.pdf
Chuadanga,FY2024-25,2025,5,2025-05,11.9,report_june2025.pdf
Comilla,FY2024-25,2025,5,2025-05,140.04,report_june2025.pdf
Coxsbazar,FY2024-25,2025,5,2025-05,16.92,report_june2025.pdf
Dhaka,FY2024-25,2025,5,2025-05,1164.05,report_june2025.pdf
Dinajpur,FY2024-25,2025,5,2025-05,7.29,report_june2025.pdf
Faridpur,FY2024-25,2025,5,2025-05,27.16,report_june2025.pdf
Feni,FY2024-25,2025,5,2025-05,83.73,report_june2025.pdf
Gaibandha,FY2024-25,2025,5,2025-05,7.94,report_june2025.pdf
Gazipur,FY2024-25,2025,5,2025-05,40.6,report_june2025.pdf
Gopalganj,FY2024-25,2025,5,2025-05,13.71,report_june2025.pdf
Habiganj,FY2024-25,2025,5,2025-05,34.39,report_june2025.pdf
Jamalpur,FY2024-25,2025,5,2025-05,16.65,report_june2025.pdf
Jashore,FY2024-25,2025,5,2025-05,21.91,report_june2025.pdf
Jhalokati,FY2024-25,2025,5,2025-05,5.96,report_june2025.pdf
Jhenaidah,FY2024-25,2025,5,2025-05,12.77,report_june2025.pdf
Joypurhat,FY2024-25,2025,5,2025-05,4.13,report_june2025.pdf
Khagrachhari,FY2024-25,2025,5,2025-05,2.5,report_june2025.pdf
Khulna,FY2024-25,2025,5,2025-05,14.36,report_june2025.pdf
Kishoreganj,FY2024-25,2025,5,2025-05,40.2,report_june2025.pdf
Kurigram,FY2024-25,2025,5,2025-05,4.92,report_june2025.pdf
Kushtia,FY2024-25,2025,5,2025-05,18.71,report_june2025.pdf
Lakshmipur,FY2024-25,2025,5,2025-05,45.8,report_june2025.pdf
Lalmonirhat,FY2024-25,2025,5,2025-05,1.51,report_june2025.pdf
Madaripur,FY2024-25,2025,5,2025-05,45.1,report_june2025.pdf
Magura,FY2024-25,2025,5,2025-05,6.21,report_june2025.pdf
Manikganj,FY2024-25,2025,5,2025-05,27.83,report_june2025.pdf
Meherpur,FY2024-25,2025,5,2025-05,8.64,report_june2025.pdf
Moulvibazar,FY2024-25,2025,5,2025-05,50.17,report_june2025.pdf
Munshiganj,FY2024-25,2025,5,2025-05,47.98,report_june2025.pdf
Mymensingh,FY2024-25,2025,5,2025-05,26.23,report_june2025.pdf
Naogaon,FY2024-25,2025,5,2025-05,9.27,report_june2025.pdf
Narail,FY2024-25,2025,5,2025-05,4.28,report_june2025.pdf
Narayanganj,FY2024-25,2025,5,2025-05,50.26,report_june2025.pdf
Narsingdi,FY2024-25,2025,5,2025-05,43.78,report_june2025.pdf
Natore,FY2024-25,2025,5,2025-05,7.26,report_june2025.pdf
Netrokona,FY2024-25,2025,5,2025-05,6.41,report_june2025.pdf
Nilphamari,FY2024-25,2025,5,2025-05,4.25,report_june2025.pdf
Noakhali,FY2024-25,2025,5,2025-05,83.65,report_june2025.pdf
Pabna,FY2024-25,2025,5,2025-05,18.54,report_june2025.pdf
Panchagarh,FY2024-25,2025,5,2025-05,2.31,report_june2025.pdf
Patuakhali,FY2024-25,2025,5,2025-05,7.62,report_june2025.pdf
Pirojpur,FY2024-25,2025,5,2025-05,8.94,report_june2025.pdf
Rajbari,FY2024-25,2025,5,2025-05,10.62,report_june2025.pdf
Rajshahi,FY2024-25,2025,5,2025-05,11.65,report_june2025.pdf
Rangamati,FY2024-25,2025,5,2025-05,2.71,report_june2025.pdf
Rangpur,FY2024-25,2025,5,2025-05,7.54,report_june2025.pdf
Satkhira,FY2024-25,2025,5,2025-05,9.37,report_june2025.pdf
Shariatpur,FY2024-25,2025,5,2025-05,25.97,report_june2025.pdf
Sherpur,FY2024-25,2025,5,2025-05,3.95,report_june2025.pdf
Sirajganj,FY2024-25,2025,5,2025-05,11.53,report_june2025.pdf
Sunamganj,FY2024-25,2025,5,2025-05,33.4,report_june2025.pdf
Sylhet,FY2024-25,2025,5,2025-05,139.6,report_june2025.pdf
Tangail,FY2024-25,2025,5,2025-05,56.92,report_june2025.pdf
Thakurgaon,FY2024-25,2025,5,2025-05,2.85,report_june2025.pdf
Bagerhat,FY2024-25,2025,6,2025-06,7.49,report_june2025.pdf
Bandarban,FY2024-25,2025,6,2025-06,1.99,report_june2025.pdf
Barguna,FY2024-25,2025,6,2025-06,5.87,report_june2025.pdf
Barisal,FY2024-25,2025,6,2025-06,25.89,report_june2025.pdf
Bhola,FY2024-25,2025,6,2025-06,10.21,report_june2025.pdf
Bogura,FY2024-25,2025,6,2025-06,15.93,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,6,2025-06,60.7,report_june2025.pdf
Chandpur,FY2024-25,2025,6,2025-06,55.06,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,6,2025-06,10.63,report_june2025.pdf
Chattogram,FY2024-25,2025,6,2025-06,191.7,report_june2025.pdf
Chuadanga,FY2024-25,2025,6,2025-06,9.3,report_june2025.pdf
Comilla,FY2024-25,2025,6,2025-06,126.39,report_june2025.pdf
Coxsbazar,FY2024-25,2025,6,2025-06,14.91,report_june2025.pdf
Dhaka,FY2024-25,2025,6,2025-06,1307.54,report_june2025.pdf
Dinajpur,FY2024-25,2025,6,2025-06,5.55,report_june2025.pdf
Faridpur,FY2024-25,2025,6,2025-06,22.48,report_june2025.pdf
Feni,FY2024-25,2025,6,2025-06,71.57,report_june2025.pdf
