district,fiscal_year,remittance_musd,source_pdf
Khagrachhari,FY2021-22,25.0,report_june2025.pdf
Khulna,FY2021-22,171.8,report_june2025.pdf
Kishoreganj,FY2021-22,289.6,report_june2025.pdf
Kurigram,FY2021-22,31.1,report_june2025.pdf
Kushtia,FY2021-22,147.1,report_june2025.pdf
Lakshmipur,FY2021-22,403.5,report_june2025.pdf
Lalmonirhat,FY2021-22,17.3,report_june2025.pdf
Madaripur,FY2021-22,260.8,report_june2025.pdf
Magura,FY2021-22,44.8,report_june2025.pdf
Manikganj,FY2021-22,265.9,report_june2025.pdf
Meherpur,FY2021-22,77.1,report_june2025.pdf
Moulvibazar,FY2021-22,498.9,report_june2025.pdf
Munshiganj,FY2021-22,396.1,report_june2025.pdf
Mymensingh,FY2021-22,263.2,report_june2025.pdf
Naogaon,FY2021-22,110.6,report_june2025.pdf
Narail,FY2021-22,43.8,report_june2025.pdf
Narayanganj,FY2021-22,421.0,report_june2025.pdf
Narsingdi,FY2021-22,345.3,report_june2025.pdf
Natore,FY2021-22,53.4,report_june2025.pdf
Netrokona,FY2021-22,47.6,report_june2025.pdf
Nilphamari,FY2021-22,80.4,report_june2025.pdf
Noakhali,FY2021-22,643.2,report_june2025.pdf
Pabna,FY2021-22,160.4,report_june2025.pdf
Panchagarh,FY2021-22,17.4,report_june2025.pdf
Patuakhali,FY2021-22,63.2,report_june2025.pdf
Pirojpur,FY2021-22,84.7,report_june2025.pdf
Rajbari,FY2021-22,79.4,report_june2025.pdf
Rajshahi,FY2021-22,126.9,report_june2025.pdf
Rangamati,FY2021-22,20.8,report_june2025.pdf
Rangpur,FY2021-22,86.2,report_june2025.pdf
Satkhira,FY2021-22,105.2,report_june2025.pdf
Shariatpur,FY2021-22,213.2,report_june2025.pdf
Sherpur,FY2021-22,29.2,report_june2025.pdf
Sirajganj,FY2021-22,116.6,report_june2025.pdf
Sunamganj,FY2021-22,282.6,report_june2025.pdf
Sylhet,FY2021-22,1085.0,report_june2025.pdf
Tangail,FY2021-22,452.6,report_june2025.pdf
Thakurgaon,FY2021-22,22.5,report_june2025.pdf
Bagerhat,FY2022-23,77.5,report_june2025.pdf
Bandarban,FY2022-23,19.9,report_june2025.pdf
Barguna,FY2022-23,57.9,report_june2025.pdf
Barisal,FY2022-23,185.3,report_june2025.pdf
Bhola,FY2022-23,87.6,report_june2025.pdf
Bogura,FY2022-23,150.7,report_june2025.pdf
Brahmanbaria,FY2022-23,645.2,report_june2025.pdf
Chandpur,FY2022-23,558.7,report_june2025.pdf
Chapainawabganj,FY2022-23,102.0,report_june2025.pdf
Chattogram,FY2022-23,1611.8,report_june2025.pdf
Chuadanga,FY2022-23,64.4,report_june2025.pdf
Comilla,FY2022-23,1285.6,report_june2025.pdf
Coxsbazar,FY2022-23,147.9,report_june2025.pdf
Dhaka,FY2022-23,6967.3,report_june2025.pdf
Dinajpur,FY2022-23,74.4,report_june2025.pdf
Faridpur,FY2022-23,227.4,report_june2025.pdf
Feni,FY2022-23,555.1,report_june2025.pdf
Gaibandha,FY2022-23,60.1,report_june2025.pdf
Gazipur,FY2022-23,317.1,report_june2025.pdf
Gopalganj,FY2022-23,86.3,report_june2025.pdf
Habiganj,FY2022-23,324.2,report_june2025.pdf
Jamalpur,FY2022-23,103.9,report_june2025.pdf
Jashore,FY2022-23,212.0,report_june2025.pdf
Jhalokati,FY2022-23,43.9,report_june2025.pdf
Jhenaidah,FY2022-23,67.1,report_june2025.pdf
Joypurhat,FY2022-23,46.4,report_june2025.pdf
Khagrachhari,FY2022-23,24.6,report_june2025.pdf
Khulna,FY2022-23,114.7,report_june2025.pdf
Kishoreganj,FY2022-23,288.4,report_june2025.pdf
Kurigram,FY2022-23,35.7,report_june2025.pdf
Kushtia,FY2022-23,123.0,report_june2025.pdf
Lakshmipur,FY2022-23,382.1,report_june2025.pdf
Lalmonirhat,FY2022-23,20.4,report_june2025.pdf
Madaripur,FY2022-23,275.3,report_june2025.pdf
Magura,FY2022-23,60.8,report_june2025.pdf
Manikganj,FY2022-23,209.2,report_june2025.pdf
Meherpur,FY2022-23,78.8,report_june2025.pdf
Moulvibazar,FY2022-23,579.2,report_june2025.pdf
Munshiganj,FY2022-23,381.4,report_june2025.pdf
Mymensingh,FY2022-23,210.0,report_june2025.pdf
Naogaon,FY2022-23,81.3,report_june2025.pdf
Narail,FY2022-23,47.2,report_june2025.pdf
Narayanganj,FY2022-23,356.1,report_june2025.pdf
Narsingdi,FY2022-23,377.4,report_june2025.pdf
Natore,FY2022-23,53.8,report_june2025.pdf
Netrokona,FY2022-23,52.4,report_june2025.pdf
