Names of Unit,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,RC Arms Act,RC Explosive Act,RC Narcotics,RC Smuggling,Date
KMP,0.0,3.0,0,2,0.0,6.0,2,0,1,13.0,30.0,0.0,0,155.0,1.0,Sep-20
RMP,0.0,2.0,2,1,0.0,24.0,1,0,5,5.0,51.0,2.0,0,271.0,15.0,Sep-20
BMP,0.0,0.0,4,1,0.0,14.0,1,0,3,10.0,44.0,1.0,0,49.0,0.0,Sep-20
SMP,0.0,0.0,1,4,0.0,28.0,2,1,5,12.0,58.0,1.0,0,42.0,10.0,Sep-20
RPMP,0.0,1.0,2,1,0.0,15.0,0,0,3,9.0,44.0,1.0,0,54.0,0.0,Sep-20
GMP,1.0,3.0,5,3,0.0,58.0,4,0,7,15.0,73.0,1.0,1,93.0,3.0,Sep-20
Dhaka Range,13.0,17.0,65,14,0.0,370.0,14,4,33,112.0,968.0,17.0,2,747.0,2.0,Sep-20
Mymensingh Range,2.0,3.0,18,15,0.0,202.0,1,0,6,41.0,457.0,3.0,0,220.0,5.0,Sep-20
Chittagong Range,6.0,18.0,54,8,0.0,260.0,5,3,55,105.0,914.0,16.0,2,765.0,8.0,Sep-20
Sylhet Range,1.0,1.0,10,0,0.0,107.0,3,1,6,39.0,386.0,1.0,0,193.0,24.0,Sep-20
Khulna Range,1.0,7.0,25,1,0.0,187.0,2,1,24,88.0,626.0,17.0,5,535.0,26.0,Sep-20
Barishal Range,2.0,6.0,11,7,0.0,145.0,3,1,15,22.0,382.0,4.0,0,224.0,0.0,Sep-20
Rajshahi Range,0.0,6.0,29,8,0.0,348.0,2,4,12,58.0,577.0,11.0,3,969.0,101.0,Sep-20
Rangpur Range,0.0,1.0,25,1,0.0,287.0,5,1,13,67.0,651.0,3.0,0,361.0,28.0,Sep-20
Ralway Range,0.0,1.0,1,0,0.0,1.0,1,0,0,5.0,5.0,0.0,0,18.0,0.0,Sep-20
DMP,0.0,18.0,22,12,0.0,297.0,3,12,61,125.0,544.0,15.0,4,1429.0,4.0,Oct-20
CMP,0.0,19.0,12,19,0.0,115.0,4,1,12,21.0,155.0,46.0,1,293.0,3.0,Oct-20
KMP,0.0,1.0,0,1,0.0,18.0,0,1,2,12.0,29.0,0.0,0,97.0,0.0,Oct-20
RMP,0.0,1.0,0,0,0.0,32.0,3,0,4,5.0,47.0,2.0,0,301.0,40.0,Oct-20
BMP,0.0,2.0,1,2,0.0,21.0,0,0,6,8.0,48.0,0.0,0,70.0,0.0,Oct-20
SMP,0.0,0.0,1,3,0.0,29.0,1,1,3,13.0,73.0,1.0,0,36.0,13.0,Oct-20
RPMP,0.0,0.0,1,1,0.0,30.0,0,0,0,14.0,53.0,0.0,0,74.0,0.0,Oct-20
GMP,1.0,5.0,7,2,0.0,55.0,1,0,1,8.0,75.0,2.0,0,72.0,1.0,Oct-20
Dhaka Range,12.0,23.0,63,17,0.0,470.0,13,10,45,107.0,991.0,16.0,2,683.0,6.0,Oct-20
Mymensingh Range,0.0,4.0,21,6,0.0,265.0,3,4,10,53.0,454.0,1.0,0,270.0,14.0,Oct-20
Chittagong Range,13.0,20.0,59,7,0.0,481.0,17,10,47,110.0,1035.0,38.0,3,810.0,15.0,Oct-20
Sylhet Range,0.0,3.0,21,2,0.0,127.0,1,3,7,52.0,350.0,1.0,0,169.0,42.0,Oct-20
Khulna Range,0.0,8.0,31,6,0.0,242.0,1,1,24,79.0,675.0,13.0,0,527.0,28.0,Oct-20
Barishal Range,2.0,2.0,10,17,0.0,178.0,3,4,14,18.0,395.0,2.0,1,225.0,1.0,Oct-20
Rajshahi Range,3.0,8.0,36,5,0.0,324.0,3,2,13,46.0,574.0,17.0,2,1068.0,114.0,Oct-20
Rangpur Range,0.0,4.0,17,3,0.0,297.0,1,3,13,66.0,691.0,0.0,0,345.0,25.0,Oct-20
Ralway Range,1.0,2.0,2,0,0.0,1.0,1,0,0,8.0,8.0,1.0,0,16.0,2.0,Oct-20
DMP,2.0,10.0,18,9,0.0,225.0,4,7,72,123.0,535.0,6.0,8,1450.0,11.0,Nov-20
CMP,1.0,7.0,8,16,0.0,96.0,3,2,13,23.0,154.0,49.0,0,256.0,5.0,Nov-20
KMP,0.0,1.0,1,0,0.0,15.0,0,1,2,7.0,37.0,0.0,0,148.0,0.0,Nov-20
RMP,0.0,1.0,4,1,0.0,26.0,1,0,3,7.0,56.0,0.0,0,377.0,33.0,Nov-20
BMP,0.0,2.0,2,2,0.0,19.0,0,0,5,12.0,33.0,0.0,0,70.0,0.0,Nov-20
SMP,0.0,0.0,4,9,0.0,37.0,0,1,3,11.0,101.0,3.0,1,61.0,10.0,Nov-20
RPMP,0.0,0.0,2,1,0.0,18.0,0,1,4,8.0,48.0,0.0,0,54.0,0.0,Nov-20
GMP,1.0,2.0,3,1,0.0,41.0,6,0,4,8.0,93.0,0.0,0,76.0,0.0,Nov-20
Dhaka Range,13.0,19.0,63,16,0.0,358.0,12,9,34,100.0,1140.0,16.0,2,827.0,5.0,Nov-20
Mymensingh Range,0.0,0.0,16,9,0.0,183.0,1,3,7,43.0,507.0,1.0,0,283.0,11.0,Nov-20
Chittagong Range,10.0,13.0,47,4,4.0,297.0,12,1,30,112.0,976.0,28.0,3,815.0,12.0,Nov-20
Sylhet Range,0.0,6.0,18,4,0.0,84.0,0,4,8,34.0,365.0,4.0,1,167.0,19.0,Nov-20
Khulna Range,1.0,6.0,24,8,0.0,193.0,3,1,17,75.0,601.0,15.0,1,542.0,25.0,Nov-20
Barishal Range,1.0,1.0,13,1,0.0,135.0,1,1,13,22.0,419.0,0.0,0,261.0,0.0,Nov-20
Rajshahi Range,0.0,7.0,27,3,0.0,235.0,3,6,8,39.0,585.0,11.0,3,971.0,76.0,Nov-20
