date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2024-12-31,Summit Power Madhabdi,IPP,3*3.67+4*8.73,45.93,23.0,22.0,505440.0,Default availability set by nldc
2024-12-31,Sutiakhali 50 MW Solar PP,IPP,0,0.0,50.0,0.0,226560.0,Default availability set by nldc
2024-12-31,Sylhet 20 MW GTPP,PDB,1*20,20.0,20.0,0.0,0.0,Default availability set by nldc
2024-12-31,Sylhet 225 MW CCPP,PDB,1*142+1*89,231.0,231.0,209.0,5307630.0,Default availability set by nldc
2024-12-31,Sympa Solar Power 8 MW,IPP,0,0.0,8.0,0.0,25047.96,Default availability set by nldc
2024-12-31,Tangail Palli Power Gen 22 MW,IPP,4*6.7,26.8,22.0,0.0,42960.0,Ready to Dispatch as per NLDC Demand.
2024-12-31,Teesta Solar Limited,BCPCL,0,0.0,200.0,0.0,509040.0,Default availability set by nldc
2024-12-31,Teknaf 20MW PP (Solartech),IPP,0,0.0,20.0,0.0,125955.0,Default availability set by nldc
2024-12-31,Titas 50 MW Peaking PP,PDB,6*8.92,53.52,52.0,0.0,0.0,-
2024-12-31,Tongi 80 MW GTPP,PDB,1* 105,105.0,105.0,0.0,0.0,Default availability set by nldc
2024-12-31,Ullapara 11 MW PP (Summit),"SIPP,REB",4*2.90,11.6,11.0,8.5,153234.0,Partial Shutdown due to maintenance
2024-12-31,Unique Meghnaghat Power Limited (UMPL),IPP,0,0.0,584.0,300.0,7233636.0,-
2024-12-31,United Payra Power Ltd.,IPP,8*18.5+1*9.5,157.5,150.0,17.0,27600.0,-
